Date,gasbill,waterbill,city,state
02-12-06,166.63,47.08,Alhambra,California
03-05-07,117.05,62.8,Anaheim,California
01-03-07,223.92,71.04,Antioch,California
11-11-05,88.51,71.75,Auburn,New York
12-04-06,224.18,93.29,Babylon,New York
09-02-06,21.25,96.21,Artesia,New Mexico
08-01-06,21.72,89.36,Belen,New Mexico
07-03-06,15.59,91.06,Anderson,South Carolina
01-04-06,216.89,47.37,Beaufort,South Carolina
06-03-06,25.14,94.51,Berkeley,California
05-02-06,39.4,69.98,Beverly Hills,California
04-03-06,65.67,54.41,Manhattan,New York
03-04-06,124.18,42.33,Massena,New York
02-02-06,193.45,46.15,Deming,New Mexico
12-05-05,168.93,56.8,Farmington,New Mexico
11-12-04,106.61,45.01,Alhambra,California
10-02-05,45.28,82.09,Anaheim,California
09-01-05,21.08,87.46,Auburn,New York
08-02-05,19.56,89.12,Babylon,New York
07-04-05,21.28,95.01,Beaufort,South Carolina
06-02-05,24.46,75.06,Berkeley,California
04-04-05,86.83,40.24,Beverly Hills,California
03-03-05,176.02,50.9,Massena,New York
12-05-04,140.49,76.93,Deming,New Mexico
11-12-03,94.67,65.02,Anaheim,California
10-12-03,55.74,66.77,Antioch,California
09-01-04,18.16,82.2,Auburn,New York
08-02-04,17.56,83.83,Babylon,New York
07-04-04,18.61,93.04,Artesia,New Mexico
